"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Gramercy","New York","NY","New York","New York",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.07808123249,1489.91071428571,1553.1561461794,1560.8541860744,1560.8541860744,1553.1561461794,1553.1561461794,1371.35922330097,1473.37278106509,1534.17015341702,1497.04142011834,1541.60982264666,1473.9663093415,1370.32085561497,1466.53138421898,1485.4517611026
"Flagami","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.998201074288,179.310344827586,168.741965105601,192.140468227425,204.379562043796,227.272727272727,207.007299270073,209.051094890511,211.678832116788,230.271592130127,222.138686131387,222.065693430657,226.131386861314,229.124087591241
"Downtown","Memphis","TN","Memphis","Shelby",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.029232455389,146.488860438719,149.482516905822,148.255813953488,147.455414598272,146.930772308924,150.421179302046,150.709219858156,150.709219858156,150.709219858156,150.421179302046,153.429916953978,152.166829483729,152.248439929866,156.955425762381,156.244188209038,157.894736842105
"Chelsea","New York","NY","New York","New York",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290.17908391689,1290.92232933424,1290.32258064516,1290.03558718861,1290.52030958703,1288.23529411765,1328.61003026373,1422.78771119024,1481.39180962922,1448.36272040302,1522.14891611687,1576.21615239295,1722.22222222222,1770.83333333333,1770.83333333333,1779.97286079183,1756.06641123883,1754.88433578309,1722.22222222222,1706.12813370474,1663.47381864623,1673.05236270754,1710.1226993865,1710.1226993865,1756.06641123883,1739.14431673052,1766.03302611367,1770.83333333333,1833.33333333333,1626.30208333333,1660.37030411449,1911.23882503193,1789.55223880597,1760.91558853431,1731.68721752886
"Oak Lawn","Dallas","TX","Dallas-Fort Worth","Dallas",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.944537815126,189.106107291401,187.267028732891,185.358255451713,184.950234950235,184.348984348984,185.680509484628,193.661971830986,194.955985915493,193.661971830986,191.960361866787,194.9375,199.600684540787,200.892857142857,199.538980678945,198.087431693989,197.115384615385,191.105769230769,191.619318181818,196.634570765661,209.552255169464,208.656219580031,205.844110092683,210.093896713615,211.097708082027,210.779082177161,212.764775413712,211.846318036286,211.776001827508,211.062590975255,211.062590975255,214.994487320838,215.381136950904,224.35174746336,227.080841866607,227.878249870904,227.925501509741,224.851297716492,228.87323943662,242.772511848341,254.070265638389,255.287920923284,254.145522429584,256.783286806651
"Greater Uptown","Houston","TX","Houston","Harris",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.021450459653,208.786288488059,194.887348353553,226.132563374243,237.458563535912,231.504024598103,220.883977900552,227.108589371597,199.140401146132,216.295982692246,229.252577319588,225.509020618557,209.910391777384,214.105793450882,233.380480905233,225.44080604534
"South Loop","Chicago","IL","Chicago","Cook",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.82636622693,278.207955566446,276.111111111111,269.841708716389,269.416012121962,272.352216748768,264.778325123153,259.135802469136,259.761388286334,234.470158343484,247.562893081761,247.562893081761,281.325301204819,294.42970521542,306.040262172285,309.833333333333,308.503153153153,298.68578255675,299.750234082397,295.942891278375,295.315315315315,292.301866236858,277.060283687943,279.458333333333,285.923753665689,282.367447595561,293.092105263158,280.475875743556,274.9,277.777777777778,294.035980838251
"Makiki-Lower Punchbowl-Tantalus","Honolulu","HI","Urban Honolulu","Honolulu",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.853052647379,525.072895537525,533.11887254902,532.442748091603,525.072895537525,550.59691011236,510.416666666667,502.336448598131,498.470382572447,504.273504273504,517.241379310345,515.413743200759,509.404388714734,507.596550363156,526.905080213904,535.005701582621,526.455026455026,542.965992763153,540.29304029304,532.374100719424,561.224489795918,559.701492537313,572.866100323625,553.223456172722,586.767664044399,570.97288676236,567.902073931802,557.453416149068,557.453416149068,572.981366459627,573.086803159267
"Downtown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.620765832106,567.117117117117,548.669003410383,564.048227986847,568.181818181818,568.181818181818,530.208333333333,545.977011494253,557.288491230848,567.010309278351,572.186836518047,584.880636604775,609.58904109589,622.015915119363,607.406960855237,607.406960855237,613.305613305613,640.810840465218,632.333333333333,624.327956989247,638.595135023706,635.353535353535,640.370092991325,654.347826086957,689.406318082789,709.330503833516,708.433734939759,696.081402257873,669.253296455182,643.75,672.448979591837,672.448979591837,685.858585858586,719.423741007194,719.74825771583,728.116710875332,740.939004815409
"Capitol Hill","Seattle","WA","Seattle","King",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.674498711773,359.632167283603,352.857142857143,374.764595103578,386.583888805359,372.503725782414,361.111111111111,377.291581162622,393.119266055046,397.215922654572,384.443907156673,389.473684210526,413.188388242894,421.012485224586,394.634903197086,406.357341679505,433.854907539118,455.033851117126,449.434039518174,431.25,449.610957793986,465.939526588846,449.730071494577,438.171845543184,448.807854137447,469.013264759193,452.069716775599,433.337348327908,449.174311926606,468.00195101448,489.32384341637,510.92907741371,529.366306027821,525.889967637541,526.665322649829,527.904163649149,530.932083380537,504.580745341615,519.021370866257,528.645963214798,537.546529292177,541.732283464567,538.50987432675,534.703145664085,535.310734463277
